output,time,parameter,S1,ST
CNH,32,Tmax,0.29674956983155304,0.4475194699995549
CNH,32,Ken,0.15488541785603532,0.22337673306367808
CNH,32,kAB,0.0016655858146741858,0.03360585864282583
CNH,32,kAN,-0.002989894429122272,0.03266984859003239
CNH,32,kAOH,-0.0002918755470631082,0.03003241646325126
CNH,32,kNH,-0.0005921249438907223,0.002421486459286234
CNH,33,kcat1,0.19286608440877492,0.33852143467873635
CNH,33,kcat2,0.0025948015119071403,0.08324444361197506
CNH,33,Km1,0.03140779804260734,0.08134292499378774
CNH,33,Km2,0.02702239980772096,0.0963291478932563
CNH,33,Tmax,0.2973681815494958,0.4474187701877233
CNH,33,Ken,0.15467915633947663,0.22280257821167673
CNH,33,kAB,0.0020512297337087287,0.03378458295393928
CNH,33,kAN,-0.0029284187377996078,0.03238010179819965
CNH,33,kAOH,-0.00026434036956748177,0.029889886327140205
CNH,33,kNH,-0.0005583158107833209,0.00253505179807263
CNH,34,kcat1,0.19057705119903426,0.33412516353061356
CNH,34,kcat2,0.0033582645596822573,0.08373538611464694
CNH,34,Km1,0.031039041896971153,0.08025234547883016
CNH,34,Km2,0.02823165966762145,0.09804894328116502
CNH,34,Tmax,0.29793097833844523,0.4473335306375536
CNH,34,Ken,0.15445224754918388,0.2222730275605684
CNH,34,kAB,0.0024423150622521245,0.03402399197154945
CNH,34,kAN,-0.0028691045539953864,0.03211117192431023
CNH,34,kAOH,-0.00025261844852303954,0.029785631577389973
CNH,34,kNH,-0.0005220653440405236,0.0026492470354966273
CNH,35,kcat1,0.18825292318310738,0.3298589822064744
CNH,35,kcat2,0.004142312737431062,0.08437465035861864
CNH,35,Km1,0.030630899905327153,0.07916293557681965
CNH,35,Km2,0.029440543601292765,0.09979909965694155
CNH,35,Tmax,0.2984439353104467,0.4472361539657777
CNH,35,Ken,0.1542055104965897,0.22177892987233364
CNH,35,kAB,0.0028409207936216387,0.034314963725251946
CNH,35,kAN,-0.0028120243604675623,0.03186084705440229
CNH,35,kAOH,-0.00025472171618024425,0.02971425232795924
CNH,35,kNH,-0.00048401361605961087,0.0027637410604720845
CNH,36,kcat1,0.18591297142475505,0.3257172014373854
CNH,36,kcat2,0.004948562951557375,0.08514380318205043
CNH,36,Km1,0.030190161012727198,0.07808017227254523
CNH,36,Km2,0.030649497880872848,0.10157503668533745
CNH,36,Tmax,0.2989135614118222,0.44712580859940104
CNH,36,Ken,0.15394537412770895,0.22131089376589655
CNH,36,kAB,0.003251848839423236,0.03463958651918674
CNH,36,kAN,-0.002757488810705165,0.03162729521941005
CNH,36,kAOH,-0.0002671724692608029,0.029671311609853923
CNH,36,kNH,-0.0004430726560798131,0.0028787248909148927
CNH,37,kcat1,0.18357659590891015,0.3216958146269757
CNH,37,kcat2,0.005777021695894804,0.08603161140594967
CNH,37,Km1,0.029716222353841335,0.07700935596738376
CNH,37,Km2,0.03185393206357497,0.10337009115863659
CNH,37,Tmax,0.29934340258967607,0.4470040607767145
CNH,37,Ken,0.15367313422735793,0.2208662706166128
CNH,37,kAB,0.003678162691479694,0.034998499092223065
CNH,37,kAN,-0.0027055846012911805,0.031409043532305315
CNH,37,kAOH,-0.00028812650955366563,0.02965391493157783
CNH,37,kNH,-0.00039972781752841536,0.002994466074009234
CNH,38,kcat1,0.1812465042147818,0.3177850508588508
CNH,38,kcat2,0.006629022869904095,0.08702756139938118
CNH,38,Km1,0.02922047008665717,0.07595465131867264
CNH,38,Km2,0.03305635379343296,0.10516489268621904
CNH,38,Tmax,0.29973132636814376,0.44686821754559386
CNH,38,Ken,0.15338730646136345,0.22044120271810144
CNH,38,kAB,0.004107521157472997,0.03540008917251097
CNH,38,kAN,-0.0026567418040763825,0.031204796256557744
CNH,38,kAOH,-0.00031699782441985526,0.029659605742528048
CNH,38,kNH,-0.0003555772774216535,0.003111246272313586
CNH,39,kcat1,0.1789199692401986,0.31397172347298
CNH,39,kcat2,0.007509270670577623,0.08812117198469448
CNH,39,Km1,0.028718387265756515,0.07491832512269615
CNH,39,Km2,0.03426571704358894,0.10692489705487356
CNH,39,Tmax,0.3000766922993248,0.4467135412151683
CNH,39,Ken,0.15309178467673792,0.22002665770252886
CNH,39,kAB,0.004539211751537497,0.035840741861253585
CNH,39,kAN,-0.002611312858756135,0.03101332196741703
CNH,39,kAOH,-0.00035328251172707164,0.029686171655553432
CNH,39,kNH,-0.0003094369307671889,0.0032293411310359964
CNH,40,kcat1,0.1765870348006292,0.3102440500731002
CNH,40,kcat2,0.008409136956844443,0.08930244744062786
CNH,40,Km1,0.028202717490682382,0.07390340504393428
CNH,40,Km2,0.035474364839004,0.10868432000809514
CNH,40,Tmax,0.3003645663866796,0.44653295239341984
CNH,40,Ken,0.1527791238554694,0.21961463648389726
CNH,40,kAB,0.004973171554472646,0.036316424326229696
CNH,40,kAN,-0.0025695301821821114,0.03083323384824951
CNH,40,kAOH,-0.0003963240662806613,0.029731626648621844
CNH,40,kNH,-0.00026050212083416285,0.003348822656398931
CNH,41,kcat1,0.17424764544557636,0.30659527634356626
CNH,41,kcat2,0.009326553812753212,0.09056362335334407
CNH,41,Km1,0.027674257406492934,0.07291513912805195
CNH,41,Km2,0.036679785079471644,0.11044606768964578
CNH,41,Tmax,0.30059218506932345,0.44632348392553967
CNH,41,Ken,0.15244960171991379,0.21920019334498994
CNH,41,kAB,0.005408676211699816,0.03682351591948483
CNH,41,kAN,-0.0025314602942813416,0.030663270286002145
CNH,41,kAOH,-0.0004468486879038856,0.02979452026372259
CNH,41,kNH,-0.00020963900551923109,0.003469800330281964
CNH,42,kcat1,0.17190581061023266,0.303021217769431
CNH,42,kcat2,0.010261224229285224,0.0918972749049884
CNH,42,Km1,0.027137237910443483,0.07195906868077069
CNH,42,Km2,0.03788026464446326,0.11220645073539058
CNH,42,Tmax,0.3007643890059473,0.44608272185767356
CNH,42,Ken,0.15210512506484447,0.21878069471200437
CNH,42,kAB,0.005845422513182444,0.037358683747768795
CNH,42,kAN,-0.0024968990421330764,0.03050214222364664
CNH,42,kAOH,-0.0005044933309484768,0.029872717262684246
CNH,42,kNH,-0.0001568401326680883,0.003592406341573628
CNH,43,kcat1,0.169565018633035,0.29952042100545045
CNH,43,kcat2,0.011217465649151813,0.09329740521350548
CNH,43,Km1,0.026595437757655552,0.07103928445154653
CNH,43,Km2,0.03907471223668071,0.11396312876063636
CNH,43,Tmax,0.30088745373067677,0.4458114556628185
CNH,43,Ken,0.15174754084873301,0.21835538722164827
CNH,43,kAB,0.0062824113436550375,0.03791912657788297
CNH,43,kAN,-0.0024654480363560465,0.030348742895776954
CNH,43,kAOH,-0.0005691223035548776,0.029964255584047594
CNH,43,kNH,-0.0001021519641983306,0.003716767003416485
CNH,44,kcat1,0.16722276790404003,0.2960926319319558
CNH,44,kcat2,0.01218255020518895,0.09475759825637027
CNH,44,Km1,0.0260502351795184,0.07015779548379415
CNH,44,Km2,0.04026623989625047,0.11571343542887498
CNH,44,Tmax,0.3009656240521495,0.44551137080146735
CNH,44,Ken,0.15137932791542036,0.21792591302492814
CNH,44,kAB,0.0067185848998007865,0.03850236128727694
CNH,44,kAN,-0.002436501881324431,0.030201779387599808
CNH,44,kAOH,-0.0006401462743707339,0.03006784850356696
CNH,44,kNH,-4.549445749305001e-05,0.003843012278519856
CNH,45,kcat1,0.1648788837944824,0.29273745502551907
CNH,45,kcat2,0.013163723556041411,0.096273233419484
CNH,45,Km1,0.02550032175288901,0.0693152523085049
CNH,45,Km2,0.04145611891487469,0.11745083758118137
CNH,45,Tmax,0.3010176146548105,0.4451749375072203
CNH,45,Ken,0.1510040119166688,0.21749282335763157
CNH,45,kAB,0.007151827528169597,0.039106164044254856
CNH,45,kAN,-0.002406135788940313,0.030060465667706277
CNH,45,kAOH,-0.0007175872675420177,0.030182623985702584
CNH,45,kNH,1.6271507493971384e-05,0.0039716698440598495
CNH,46,kcat1,0.16254237192002066,0.2894525573107373
CNH,46,kcat2,0.014170126194211525,0.09783845535048047
CNH,46,Km1,0.024959156732480614,0.06851223159251667
CNH,46,Km2,0.04264895396461849,0.11915272704135288
CNH,46,Tmax,0.30101053158819097,0.444850116265984
CNH,46,Ken,0.15062615614849564,0.21705465584797168
CNH,46,kAB,0.007582170150378123,0.03972893013227061
CNH,46,kAN,-0.002386027318513906,0.029922894145844457
CNH,46,kAOH,-0.0008006410140270598,0.030308509547907505
CNH,46,kNH,6.977636991829552e-05,0.004101221794228391
CNH,47,kcat1,0.1602265745270562,0.2862371447971133
CNH,47,kcat2,0.015193428335985373,0.09945115659633076
CNH,47,Km1,0.024431073533085355,0.06774674681609676
CNH,47,Km2,0.043851329232375585,0.12082528501001732
CNH,47,Tmax,0.30095606133530073,0.44451792150731
CNH,47,Ken,0.15024593808992928,0.2166129957522609
CNH,47,kAB,0.008017701560534442,0.04036774904607659
